;DT;T;O;WT;D;C;A
DT;NaN;8.882521;3.151862;1.432665;NaN;1.146132;12.320917
T;9.742120;NaN;3.724928;0.573066;0.286533;NaN;7.736390
O;2.578797;4.297994;NaN;2.865330;NaN;NaN;2.865330
WT;2.578797;1.719198;1.146132;NaN;0.573066;NaN;1.719198
D;0.286533;NaN;0.286533;NaN;NaN;NaN;1.146132
C;0.573066;0.859599;NaN;0.286533;NaN;NaN;0.859599
A;11.174785;6.017192;4.297994;2.578797;0.859599;1.432665;NaN
