;DT;T;O;WT;D;C;A
DT;NaN;32.978723;11.702128;5.319149;NaN;4.255319;45.744681
T;44.155844;NaN;16.883117;2.597403;1.298701;NaN;35.064935
O;20.454545;34.090909;NaN;22.727273;NaN;NaN;22.727273
WT;33.333333;22.222222;14.814815;NaN;7.407407;NaN;22.222222
D;16.666667;NaN;16.666667;NaN;NaN;NaN;66.666667
C;22.222222;33.333333;NaN;11.111111;NaN;NaN;33.333333
A;42.391304;22.826087;16.304348;9.782609;3.260870;5.434783;NaN
